pedestrians 通行人
concept 考え
urban 都市部
individual 個人
focus 集中する
promote 推進する、宣伝する
sophisticated 洗練された
evolve 進化する、発展する
allude_to それとなく言う
priorities 優先
distinguishes 区別する、見分ける
liberate 自由にする、解放する
visualize 心に思い浮かべる
neutral 中立な
remove 取り除く
negative 欠点、マイナスなところ
residence 住宅
tend する傾向がある
minimize 最小化する
potential 可能性のある
feature 特集する、目玉商品にする
mentally 精神的に
investment 投資
in_theory 理論上は
colleague 同僚
consistent_with 矛盾がない
theoretically 理論上は
accurately 正確に
extracurricular 正課外の
select 選択する
equipped_with 備わっている
competence 能力、適正
nurture 養う
assumption 仮定、想定、仮説
innate 生まれつきの
period 期間
motivate 動機となる
exaggerate 誇張する、大袈裟に言う
rely_on 頼る
capture 感情や雰囲気を正確に表現する
significance 重要性
episode エピソード
refuge 避難、避難所、保護
suspect じゃないかなと思う
impassioned 熱意のある
profound 深みのある
creative 独創的な
resentful 怒った
