eliminate 除去する
expert 専門家
benefit 利益
link 関連
access 接近
participate 参加する
finding 発見
encourage 助長する、促す
practical 効率的な
approach(n) 取り組み方、アプローチ
physical 身体的な
challenge 疑う、異議を唱える
milestone 画期的な出来事
contribute 貢献する、寄与する
currently 現在
primarily 主に
shift 変わる
source 情報源
modify 変える
major より重要な
stable 安定的な
sink_in ちゃんと理解する
transition 変化
adjust 適合させる
ambiguous 曖昧な
pattern パターン
fixed 決まった
constant 一定の
anticipate 予期する
encounter 遭遇する
analyze 分析する
interpret 解釈する
collaborative 共同の
expertise 専門技術
income 収入
incentive 刺激、動機
contact 連絡を取る
enable 可能にする
particular 特有の
reluctant 気が進まない、しぶしぶ〜する
permanent 永久的な
utilize 使う
approach(v) 近づく
institution 大きな組織
acquire 得る
